product_category_name,order_year,order_month,order_day,total_goods_sold
agro_industria_e_comercio,2017,1,23,2
agro_industria_e_comercio,2017,1,31,1
agro_industria_e_comercio,2017,2,5,1
agro_industria_e_comercio,2017,2,8,1
agro_industria_e_comercio,2017,2,12,1
agro_industria_e_comercio,2017,2,13,1
agro_industria_e_comercio,2017,2,16,1
agro_industria_e_comercio,2017,2,18,1
agro_industria_e_comercio,2017,2,21,1
agro_industria_e_comercio,2017,3,17,1
agro_industria_e_comercio,2017,3,20,1
agro_industria_e_comercio,2017,5,6,1
agro_industria_e_comercio,2017,5,8,1
agro_industria_e_comercio,2017,5,20,1
agro_industria_e_comercio,2017,5,28,1
agro_industria_e_comercio,2017,6,26,1
agro_industria_e_comercio,2017,7,14,1
agro_industria_e_comercio,2017,8,30,4
agro_industria_e_comercio,2017,9,5,1
agro_industria_e_comercio,2017,9,13,1
agro_industria_e_comercio,2017,9,23,2
agro_industria_e_comercio,2017,10,5,1
agro_industria_e_comercio,2017,10,10,1
agro_industria_e_comercio,2017,10,17,1
agro_industria_e_comercio,2017,10,23,1
agro_industria_e_comercio,2017,10,28,1
agro_industria_e_comercio,2017,11,6,1
agro_industria_e_comercio,2017,11,12,1
agro_industria_e_comercio,2017,11,14,3
agro_industria_e_comercio,2017,11,18,1
agro_industria_e_comercio,2017,11,20,1
agro_industria_e_comercio,2017,11,22,1
agro_industria_e_comercio,2017,11,23,2
agro_industria_e_comercio,2017,11,24,7
agro_industria_e_comercio,2017,11,28,1
agro_industria_e_comercio,2017,11,29,1
agro_industria_e_comercio,2017,12,1,1
agro_industria_e_comercio,2017,12,4,1
agro_industria_e_comercio,2017,12,6,1
agro_industria_e_comercio,2017,12,8,1
agro_industria_e_comercio,2017,12,10,1
agro_industria_e_comercio,2017,12,20,2
agro_industria_e_comercio,2017,12,22,1
agro_industria_e_comercio,2017,12,28,1
agro_industria_e_comercio,2017,12,29,2
agro_industria_e_comercio,2018,1,3,1
agro_industria_e_comercio,2018,1,4,1
agro_industria_e_comercio,2018,1,6,1
agro_industria_e_comercio,2018,1,7,1
agro_industria_e_comercio,2018,1,10,2
agro_industria_e_comercio,2018,1,12,1
agro_industria_e_comercio,2018,1,13,1
agro_industria_e_comercio,2018,1,16,1
agro_industria_e_comercio,2018,1,17,1
agro_industria_e_comercio,2018,1,18,4
agro_industria_e_comercio,2018,1,24,1
agro_industria_e_comercio,2018,1,25,1
agro_industria_e_comercio,2018,1,30,1
agro_industria_e_comercio,2018,1,31,1
agro_industria_e_comercio,2018,2,1,1
agro_industria_e_comercio,2018,2,2,2
agro_industria_e_comercio,2018,2,4,1
agro_industria_e_comercio,2018,2,5,5
agro_industria_e_comercio,2018,2,7,1
agro_industria_e_comercio,2018,2,8,1
agro_industria_e_comercio,2018,2,9,1
agro_industria_e_comercio,2018,2,14,2
agro_industria_e_comercio,2018,2,16,1
agro_industria_e_comercio,2018,2,22,1
agro_industria_e_comercio,2018,2,23,2
agro_industria_e_comercio,2018,2,25,1
agro_industria_e_comercio,2018,2,26,1
agro_industria_e_comercio,2018,2,27,1
agro_industria_e_comercio,2018,2,28,5
agro_industria_e_comercio,2018,3,1,1
agro_industria_e_comercio,2018,3,2,1
agro_industria_e_comercio,2018,3,5,3
agro_industria_e_comercio,2018,3,6,1
agro_industria_e_comercio,2018,3,7,1
agro_industria_e_comercio,2018,3,12,1
agro_industria_e_comercio,2018,3,13,1
agro_industria_e_comercio,2018,3,14,1
agro_industria_e_comercio,2018,3,16,2
agro_industria_e_comercio,2018,3,18,1
agro_industria_e_comercio,2018,3,19,2
agro_industria_e_comercio,2018,3,20,4
agro_industria_e_comercio,2018,3,22,2
agro_industria_e_comercio,2018,3,26,2
agro_industria_e_comercio,2018,3,28,2
agro_industria_e_comercio,2018,3,29,1
agro_industria_e_comercio,2018,4,3,1
agro_industria_e_comercio,2018,4,4,1
agro_industria_e_comercio,2018,4,5,1
agro_industria_e_comercio,2018,4,12,1
agro_industria_e_comercio,2018,4,13,1
agro_industria_e_comercio,2018,4,17,1
agro_industria_e_comercio,2018,4,18,1
agro_industria_e_comercio,2018,4,19,1
agro_industria_e_comercio,2018,4,24,1
agro_industria_e_comercio,2018,4,25,1
agro_industria_e_comercio,2018,4,27,1
agro_industria_e_comercio,2018,4,28,1
agro_industria_e_comercio,2018,5,6,1
agro_industria_e_comercio,2018,5,7,1
agro_industria_e_comercio,2018,5,8,1
agro_industria_e_comercio,2018,5,9,1
agro_industria_e_comercio,2018,5,10,2
agro_industria_e_comercio,2018,5,17,1
agro_industria_e_comercio,2018,5,30,1
agro_industria_e_comercio,2018,6,5,1
agro_industria_e_comercio,2018,6,7,1
agro_industria_e_comercio,2018,6,11,1
agro_industria_e_comercio,2018,6,12,1
agro_industria_e_comercio,2018,6,22,2
agro_industria_e_comercio,2018,6,24,1
agro_industria_e_comercio,2018,6,25,1
agro_industria_e_comercio,2018,6,27,1
agro_industria_e_comercio,2018,6,28,1
agro_industria_e_comercio,2018,7,4,2
agro_industria_e_comercio,2018,7,16,1
agro_industria_e_comercio,2018,7,17,1
agro_industria_e_comercio,2018,7,18,4
agro_industria_e_comercio,2018,7,19,4
agro_industria_e_comercio,2018,7,20,3
agro_industria_e_comercio,2018,7,23,1
agro_industria_e_comercio,2018,7,24,3
agro_industria_e_comercio,2018,7,25,2
agro_industria_e_comercio,2018,7,28,2
agro_industria_e_comercio,2018,7,29,2
agro_industria_e_comercio,2018,7,30,1
agro_industria_e_comercio,2018,7,31,1
agro_industria_e_comercio,2018,8,2,5
agro_industria_e_comercio,2018,8,4,1
agro_industria_e_comercio,2018,8,5,1
agro_industria_e_comercio,2018,8,6,2
agro_industria_e_comercio,2018,8,10,2
agro_industria_e_comercio,2018,8,18,1
agro_industria_e_comercio,2018,8,20,3
agro_industria_e_comercio,2018,8,24,1
agro_industria_e_comercio,2018,8,25,1
