customer_state,order_year,order_month,order_day,payment_value
AL,2017,10,29,231.52
AL,2017,10,30,69.88
AL,2017,10,31,928.28
AL,2017,11,1,241.27
AL,2017,11,2,97.87
AL,2017,11,3,213.56
AL,2017,11,5,82.22
AL,2017,11,7,61.07
AL,2017,11,13,788.14
AL,2017,11,15,49.64
AL,2017,11,16,79.88
AL,2017,11,20,731.37
AL,2017,11,21,128.08
AL,2017,11,23,1552.39
AL,2017,11,24,1693.4399999999998
AL,2017,11,25,931.8
AL,2017,11,27,359.24
AL,2017,11,29,431.5
AL,2017,12,1,670.77
AL,2017,12,2,374.53000000000003
AL,2017,12,7,42.67
AL,2017,12,9,418.12
AL,2017,12,13,736.0799999999999
AL,2017,12,23,246.92
AL,2017,12,27,33.45
AL,2017,12,30,158.22
AL,2018,1,1,184.36
AL,2018,1,3,285.45
AL,2018,1,4,247.37
AL,2018,1,6,124.05
AL,2018,1,7,44.95
AL,2018,1,9,617.37
AL,2018,1,10,71.05
AL,2018,1,11,99.8
AL,2018,1,12,182.43
AL,2018,1,13,279.5
AL,2018,1,16,810.04
AL,2018,1,18,171.84
AL,2018,1,19,738.57
AL,2018,1,21,51.14
AL,2018,1,22,635.78
AL,2018,1,23,337.14
AL,2018,1,24,615.22
AL,2018,1,25,398.63
AL,2018,1,26,87.8
AL,2018,1,28,43.14
AL,2018,1,30,192.79000000000002
AL,2018,2,1,738.57
AL,2018,2,2,61.28
AL,2018,2,5,940.65
AL,2018,2,6,555.68
AL,2018,2,9,91.28
AL,2018,2,13,93.92
AL,2018,2,15,90.85
AL,2018,2,16,486.95
AL,2018,2,17,94.28999999999999
AL,2018,2,18,38.05
AL,2018,2,19,513.45
AL,2018,2,20,740.9300000000001
AL,2018,2,22,285.54
AL,2018,2,23,110.32
AL,2018,2,24,307.85
AL,2018,2,25,260.42
AL,2018,2,26,132.1
AL,2018,2,28,138.72
AL,2018,3,3,190.98
AL,2018,3,6,260.99
AL,2018,3,7,108.61
AL,2018,3,9,101.88
AL,2018,3,10,803.54
AL,2018,3,11,1053.11
AL,2018,3,12,128.76
AL,2018,3,19,47.75
AL,2018,3,20,547.04
AL,2018,3,22,405.70000000000005
AL,2018,3,23,275.03999999999996
AL,2018,3,25,332.55
AL,2018,3,26,214.35
AL,2018,3,28,1027.21
AL,2018,3,29,135.74
AL,2018,3,30,1832.06
AL,2018,4,2,123.82
AL,2018,4,3,152.3
AL,2018,4,4,454.85
AL,2018,4,6,141.02
AL,2018,4,7,102.96
AL,2018,4,8,57.85
AL,2018,4,9,230.75
AL,2018,4,17,131.63
AL,2018,4,18,1842.29
AL,2018,4,19,1876.37
AL,2018,4,20,119.98
AL,2018,4,21,272.76
AL,2018,4,23,163.47
AL,2018,4,24,856.89
AL,2018,4,26,314.18
AL,2018,4,28,96.8
AL,2018,4,30,68.54
AL,2018,5,2,689.02
AL,2018,5,4,36.05
AL,2018,5,8,398.46
AL,2018,5,9,609.2
AL,2018,5,10,826.99
AL,2018,5,11,52.75
AL,2018,5,13,826.99
AL,2018,5,15,122.31
AL,2018,5,16,160.51
AL,2018,5,17,160.51
AL,2018,5,23,218.52
AL,2018,5,26,49.85
AL,2018,5,28,66.75
AL,2018,5,30,175.19
AL,2018,6,1,179.49
AL,2018,6,3,262.44
AL,2018,6,4,377.32
AL,2018,6,5,1063.09
AL,2018,6,9,171.32
AL,2018,6,10,325.65
AL,2018,6,11,582.69
AL,2018,6,12,245.67
AL,2018,6,14,274.46
AL,2018,6,20,74.6
AL,2018,6,22,119.2
AL,2018,6,24,64.63
AL,2018,6,25,51.92
AL,2018,6,26,168.47
AL,2018,6,27,502.91
AL,2018,6,28,389.07
AL,2018,7,3,398.69
AL,2018,7,6,281.34
AL,2018,7,7,118.99
AL,2018,7,8,87.42
AL,2018,7,9,253.23
AL,2018,7,10,223.11
AL,2018,7,12,66.02
AL,2018,7,13,251.77
AL,2018,7,14,73.06
AL,2018,7,16,105.66
